GTA06,Total Seconds Available,Trip Demand,Availability 
0,2707,1,0.395257494
1,1991784,114,290.8265802
3,22435,6,3.275804167
4,391298,33,57.13463869
5,117964,19,17.22429074
6,831356,36,121.3888767
10,176913,13,25.83161768
11,96032,11,14.02193117
14,272286,18,39.75732621
15,1950713,111,284.8296757
16,263613,38,38.49095449
17,1070030,76,156.2384102
18,112070,15,16.36368946
19,457821,18,66.84786894
20,163345,9,23.85051178
21,436444,21,63.72654664
22,1055338,77,154.0931856
23,266639,29,38.93279016
24,380014,24,55.48702674
25,1049553,81,153.2484997
26,876930,70,128.0432783
29,77666,3,11.34025435
30,926,1,0.135208142
31,321836,28,46.99227591
32,30597,1,4.467563187
34,1115698,69,162.906537
35,9106,7,1.329595398
36,889811,108,129.9240732
37,1200737,82,175.323346
38,309924,30,45.25296772
39,122709,9,17.91712296
40,547722,48,79.97459372
41,1055976,83,154.1863419
42,303327,31,44.28971922
43,2125,1,0.310277863
44,159186,11,23.24324324
45,921843,47,134.6011652
46,123417,8,18.02050024
47,33506,8,4.89231533
48,902,1,0.131703827
53,15450,4,2.25590258
55,4087,2,0.596755589
57,1088159,73,158.8854819
61,0,1,0
62,641798,36,93.71092324
64,997816,36,145.6942193
65,101782,16,14.86150656
66,1070886,92,156.3633974
67,1108830,91,161.903719
68,91339,20,13.33669163
69,41462,4,6.053995649
70,715901,46,104.5309329
71,599735,68,87.56917371
72,286031,41,41.76427643
73,317810,55,46.40442712
74,384610,35,56.158103
75,1081833,81,157.961803
76,349352,45,51.0099727
77,798179,81,116.5445997
78,1325335,79,193.5162878
79,1116346,51,163.0011535
80,13893,1,2.028560165
82,141513,5,20.66275352
84,2284974,104,333.6361645
85,2708,2,0.395403507
86,13329,2,1.94620877
87,9373,1,1.368580899
89,1682578,168,245.6784499
90,1716346,175,250.6090207
91,244377,46,35.68224627
92,464857,49,67.87521719
93,1019573,80,148.8710266
94,976599,71,142.5962591
95,578755,49,84.50581862
96,526758,38,76.91357484
97,1152881,103,168.3357425
98,983408,144,143.5904624
99,775801,125,113.2771183
100,915843,99,133.7250865
101,565707,56,82.60063954
102,334015,38,48.7705696
103,297842,17,43.4888373
104,864495,43,126.2276052
105,1040392,92,151.9108736
106,727458,43,106.2184064
107,1706241,109,249.1335582
108,261940,29,38.24667455
109,1847281,143,269.7272475
110,1925107,201,281.090864
113,3001067,166,438.1951319
114,920367,93,134.3856498
115,1120448,91,163.6000993
116,726389,70,106.0623184
117,617012,32,90.09184225
118,957593,56,139.8211339
119,2654913,115,387.6521092
120,555507,34,81.1113058
122,1298536,49,189.6032824
124,766410,33,111.9059092
125,634623,28,92.66327916
126,1098065,62,160.3318878
127,607126,23,88.64835662
129,317451,11,46.35200841
145,273764,8,39.97313359
146,1352150,58,197.4316294
147,1389152,42,202.8344065
148,54467,2,7.95289617
161,189539,7,27.67517923
162,904329,24,132.0438915
163,750065,37,109.5193248
164,870205,29,127.0613401
165,877133,32,128.0729189
166,1320199,59,192.7663644
167,547515,25,79.944369
169,629912,28,91.97541139
170,1075151,46,156.9861434
171,202265,13,29.53334209
172,596865,15,87.15011608
173,1672457,62,244.2006512
174,548507,24,80.08921401
175,700864,34,102.3353337
176,193011,7,28.18213676
177,12375,1,1.806912261
184,127181,10,18.57009359
185,320232,10,46.75807087
186,568663,24,83.0322543
187,294147,23,42.94931885
188,1082400,40,158.0445924
189,760509,25,111.0442858
190,101365,7,14.8006191
191,5139,1,0.750361382
201,1157617,33,169.0272606
202,910524,43,132.9484428
203,214942,10,31.38435031
204,383315,26,55.96901602
205,159954,17,23.35538131
206,180418,11,26.34339364
207,241653,14,35.28450655
208,26964,1,3.937097551
209,1714728,91,250.3727715
210,926801,61,135.3250982
216,1109537,49,162.0069502
217,1169964,48,170.8300845
219,8127,1,1.186648561
220,353755,11,51.65286843
236,0,1,0
246,0,1,0
248,78456,1,11.45560471
249,2362999,60,345.0288376
250,1884418,79,275.1497364
251,542339,40,79.18860514
252,935889,38,136.6520654
253,1052418,55,153.6668273
254,650804,49,95.02591733
255,1565671,109,228.608495
256,859589,46,125.5112649
257,719943,60,105.1211179
258,4526067,213,660.8651277
259,522505,34,76.29258107
260,3934,1,0.574415583
262,330025,11,48.18797728
263,757641,38,110.6255202
264,1728078,134,252.3220465
265,487852,48,71.2327887
266,2966816,184,433.1940368
267,237718,21,34.70994495
268,467492,41,68.25996174
269,3252691,166,474.9355352
270,1016170,147,148.374144
271,1209894,122,176.6603881
272,371513,24,54.24576927
273,700314,45,102.2550265
274,1222083,84,178.4401419
275,144375,9,21.08064304
276,443296,48,64.72702849
277,148094,22,21.62366581
278,163065,16,23.8096281
279,2464621,89,359.8669821
280,277117,35,40.46271555
281,785153,46,114.6426329
282,1096077,57,160.0416137
283,1665462,69,243.1792895
284,206407,12,30.1381284
431,0,1,0
538,157476,5,22.99356082
539,10230,2,1.493714136
540,93866,6,13.70566677
3710,1219709,44,178.0935068
